Included,MaleRatioDiff>20,Paper,SS,SS_overlap,SubSample,keep,missing,RT/accuracy,Study,Authors,comment,todo,Included in Bediou et al 2018,New,Publication_type,Year,VGP_criteria,NVGP_criteria,Game_genre,Age_group,Recruitment,Lab,Cognitive_domain,SubDomain,Task,Measure,Effect,DV_type,Data_source,nExp,nCtl,males_AVGP,males_NVGP,MaleRatioDiff,g_source,Cohen's d,d_var,J,g,g_var
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Visual Short-Term Memory,Main effect: accuracy,main,accuracy,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,perception?,perception?,Task switching,Main effect: accuracy,main,accuracy,NA,8,9,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,multi-tasking,multi-tasking,Task switching,Main effect: RT,main,speed,NA,8,9,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,multi-tasking,multi-tasking,Task switching cost,Interaction: Group X Trial Type - switch cost,interaction,accuracy,NA,8,9,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,multi-tasking,multi-tasking,Task switching cost,Interaction: Group X Trial Type - switch cost,interaction,speed,NA,8,9,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,top-down attention,top-down attention,Attentional Blink,Interaction: Group x Lag T2 accuracy/T1 correct,main,accuracy,NA,10,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,top-down attention,top-down attention,MOT,Main effect: Speed Threshold,main,speed,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,top-down attention,top-down attention,UFOV (FFOV) - single task / with distractor / peripheral target alone?,Main effect: accuracy,main,accuracy,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,verbal cognition,WM,OSPAN,Main effect: nb correctly recalled words,main,accuracy,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,13,13,13,,NA,NA,NA,"Buckley, Codina, Bhardwaj & Pascalis, 2010","Buckley, D., Codina, C., Bhardwaj, P., & Pascalis, O.",EXCLUDE (hours + genre),NA,1,NA,published,2010,Green and Bavelier’s criteria for VGP participants was that they played at least 4 days per week for at least 1 h per day in the 6 months prior to taking part in their study,"The NVGP either never, or rarely, played games and none had played in the 6 months prior to the experiment.",NA,Younger adults,Covert,Other,perception,perception,Goldmann kinetic perimetry,Main effect: central field,main,accuracy,NA,10,10,0.5,0.5,0,NA,NA,NA,NA,NA,NA
